,tract,total,male_percent,female_percent,disability_percent,male_disability_percent,female_disability_percent,year
157,"Census Tract 4455, Allegheny County, Pennsylvania",3837,0.4646859525671097,0.5353140474328902,0.09773260359655982,0.05394839718530102,0.0437842064112588,2013
158,"Census Tract 4460, Allegheny County, Pennsylvania",1652,0.4576271186440678,0.5423728813559322,0.07082324455205811,0.02360774818401937,0.04721549636803874,2013
159,"Census Tract 4470, Allegheny County, Pennsylvania",1591,0.4783155248271527,0.5216844751728472,0.09302325581395349,0.05531112507856694,0.03771213073538655,2013
160,"Census Tract 4480, Allegheny County, Pennsylvania",1196,0.451505016722408,0.5484949832775919,0.1697324414715719,0.061036789297658864,0.10869565217391304,2013
161,"Census Tract 4490, Allegheny County, Pennsylvania",2622,0.4969488939740656,0.5030511060259344,0.19298245614035087,0.06903127383676583,0.12395118230358505,2013
162,"Census Tract 4507, Allegheny County, Pennsylvania",3165,0.4597156398104265,0.5402843601895735,0.18357030015797787,0.09320695102685624,0.09036334913112164,2013
163,"Census Tract 4508, Allegheny County, Pennsylvania",2471,0.49453662484823957,0.5054633751517604,0.22339133953864831,0.1048158640226629,0.11857547551598543,2013
164,"Census Tract 4511.01, Allegheny County, Pennsylvania",3962,0.4810701665825341,0.5189298334174659,0.07420494699646643,0.037102473498233215,0.037102473498233215,2013
165,"Census Tract 4511.02, Allegheny County, Pennsylvania",5430,0.5244935543278084,0.4755064456721915,0.1261510128913444,0.08029465930018416,0.04585635359116022,2013
166,"Census Tract 4511.04, Allegheny County, Pennsylvania",3449,0.5102928385039142,0.48970716149608584,0.09046100318933024,0.03624238909828936,0.05421861409104088,2013
167,"Census Tract 4511.05, Allegheny County, Pennsylvania",4528,0.5218639575971732,0.47813604240282687,0.10092756183745583,0.04770318021201413,0.05322438162544169,2013
168,"Census Tract 4513, Allegheny County, Pennsylvania",7135,0.5274001401541696,0.4725998598458304,0.09824807288016818,0.055781359495444986,0.042466713384723194,2013
169,"Census Tract 4520, Allegheny County, Pennsylvania",5083,0.44717686405665946,0.5528231359433405,0.09364548494983277,0.03482195553806807,0.058823529411764705,2013
170,"Census Tract 4530.03, Allegheny County, Pennsylvania",2012,0.4865805168986084,0.5134194831013916,0.09343936381709742,0.040755467196819085,0.05268389662027833,2013
171,"Census Tract 4530.04, Allegheny County, Pennsylvania",7081,0.5221013981076119,0.4778986018923881,0.08063832791978534,0.04632114108176811,0.03431718683801723,2013
172,"Census Tract 4550, Allegheny County, Pennsylvania",1357,0.47310243183493,0.52689756816507,0.14443625644804717,0.07442888725128961,0.07000736919675755,2013
173,"Census Tract 4560.01, Allegheny County, Pennsylvania",3720,0.4814516129032258,0.5185483870967742,0.08225806451612903,0.03763440860215054,0.044623655913978495,2013
174,"Census Tract 4560.03, Allegheny County, Pennsylvania",6494,0.4946104096088697,0.5053895903911303,0.0883892824145365,0.040498922081921775,0.04789036033261472,2013
175,"Census Tract 4560.04, Allegheny County, Pennsylvania",4154,0.47496389022628793,0.5250361097737121,0.10231102551757343,0.04838709677419355,0.053923928743379874,2013
